EDelta,XDelta,BSDiff,ServiceMonth,Final Size
Y,N,N,154860,236360
Y,N,N,154861,300537
Y,N,N,156683,249259
Y,N,N,156684,1814552
Y,N,N,172954,965209
Y,N,N,186941,331175
Y,N,N,208851,55438
Y,N,N,208852,424084
Y,N,N,210179,188691
Y,N,N,210180,231398
Y,N,N,210186,184189
Y,N,N,218305,91099
Y,N,N,232456,162541
Y,N,N,238416,13585
N,Y,N,154860,145846
N,Y,N,154861,212652
N,Y,N,156683,154021
N,Y,N,156684,966395
N,Y,N,172954,703512
N,Y,N,186941,210626
N,Y,N,208851,41875
N,Y,N,208852,307150
N,Y,N,210179,187503
N,Y,N,210180,216965
N,Y,N,210186,184017
N,Y,N,218305,53790
N,Y,N,232456,142919
N,Y,N,238416,13069
N,N,Y,154860,260186
N,N,Y,154861,270523
N,N,Y,156683,298948
N,N,Y,156684,1302146
N,N,Y,172954,759580
N,N,Y,186941,205921
N,N,Y,208851,57399
N,N,Y,208852,269125
N,N,Y,210179,188199
N,N,Y,210180,227664
N,N,Y,210186,184302
N,N,Y,218305,77297
N,N,Y,232456,124240
N,N,Y,238416,13509
Y,Y,N,154860,224298
Y,Y,N,154861,260765
Y,Y,N,156683,241729
Y,Y,N,156684,1256824
Y,Y,N,172954,814461
Y,Y,N,186941,235232
Y,Y,N,208851,54376
Y,Y,N,208852,342176
Y,Y,N,210179,187503
Y,Y,N,210180,222705
Y,Y,N,210186,184017
Y,Y,N,218305,72757
Y,Y,N,232456,156825
Y,Y,N,238416,13069
Y,N,Y,154860,226305
Y,N,Y,154861,248075
Y,N,Y,156683,247575
Y,N,Y,156684,1218884
Y,N,Y,172954,732411
Y,N,Y,186941,203739
Y,N,Y,208851,55438
Y,N,Y,208852,266879
Y,N,Y,210179,188691
Y,N,Y,210180,229753
Y,N,Y,210186,184189
Y,N,Y,218305,74864
Y,N,Y,232456,122915
Y,N,Y,238416,13585
N,Y,Y,154860,236795
N,Y,Y,154861,254910
N,Y,Y,156683,265980
N,Y,Y,156684,1195113
N,Y,Y,172954,667229
N,Y,Y,186941,186024
N,Y,Y,208851,42420
N,Y,Y,208852,243040
N,Y,Y,210179,187503
N,Y,Y,210180,223996
N,Y,Y,210186,184017
N,Y,Y,218305,55021
N,Y,Y,232456,109497
N,Y,Y,238416,13069
Y,Y,Y,154860,220973
Y,Y,Y,154861,246632
Y,Y,Y,156683,240947
Y,Y,Y,156684,1195222
Y,Y,Y,172954,721365
Y,Y,Y,186941,199852
Y,Y,Y,208851,54376
Y,Y,Y,208852,264336
Y,Y,Y,210179,187503
Y,Y,Y,210180,222422
Y,Y,Y,210186,184017
Y,Y,Y,218305,73218
Y,Y,Y,232456,121739
Y,Y,Y,238416,13069
